current_location,current_work,previous_work,latest_Education,majro,search_school,major
Greater Boston,"Head of Enterprise Data & Analytics Center of Excellence & Business Enablement at The TJX Companies, Inc.","Manager Of Enterprise Data & Analytics Program & Strategy at The TJX Companies, Inc.",Brown University,Mathematics,Brown University,
United States,Managing Director at Financo Raymond James,Managing Director at Financo LLC,2003–2005,"History, Economics",Brown University,
"Portland, Oregon, United States",Senior Director - Global Operations (Strategy and Programs Supply Chain North America) at adidas,"Director - Innovation / Advanced Manufacturing Strategy, Partners, and Local Factory Development at Under Armour",Harvard Business School,Materials Engineering,Brown University,
"Minneapolis, Minnesota, United States",President at Mars Supply,,Brown University,Economics/Political Science,Brown University,
"San Francisco, California, United States","Senior Manager, Machine Learning - New Verticals at DoorDash","Manager, Styling Recommendations Algorithms at Stitch Fix",Northwestern University,Chemical Engineering,Brown University,
New York City Metropolitan Area,"Vice President, Strategy & Operations at Chief",Head of Customer Operations & Insights at LOLA (www.mylola.com),Brown University,"Economics, Public Policy",Brown University,
"Chicago, Illinois, United States",President at Core Spaces,Principal at Blackstone,Brown University,Neuroscience,Brown University,
"Seattle, Washington, United States","Director, Meta AI at Meta","Applied Science Manager, Facebook AI at Facebook",Carnegie Mellon University,Electrical and Computer Engineering,Brown University,
"Cambridge, Massachusetts, United States",Head Of Product Management at Tulip Interfaces,Head Of Marketing at Tulip Interfaces,Massachusetts Institute of Technology - Sloan School of Management,Finance,Brown University,
"Atlanta, Georgia, United States",Chief Commercial Officer at Passport,"CEO and Founder at Access Worldwide, Inc.",Brown University,International Business,Brown University,
"Philadelphia, Pennsylvania, United States",Vice President Quality Management & Chief Safety Officer  at Independence Blue Cross,Vice President Quality Management at Independence Blue Cross,University of Pennsylvania - The Wharton School,"Biology, General",Brown University,
"Roswell, Georgia, United States",Managing Partner at Global Recruiters of Roswell (GRN),"Vice President at vPromos, Inc.",Brown University,Organizational Leadership,Brown University,
"Tampa, Florida, United States",Chief Innovation Officer at A3J Group LLC,Senior Vice President at EDI,Brown University,Applied Mathematics / Economics,Brown University,
"Seattle, Washington, United States","SVP, Strategic Technology Solutions & CIO at Cambia Health Solutions","SVP & GM, Healthcare IT, Eastern & Africa Growth Markets at GE Healthcare",Brown University,Materials Science & Engineering,Brown University,
"Toronto, Ontario, Canada",Director Of Engineering at BenchSci,"Senior Data Engineer, Team Lead at BenchSci",Brown University,"Neuroscience, Computer Science, Philosophy",Brown University,
"Dallas, Texas, United States","Lead Director, Analytics & Behavior Change - Data Engineering at CVS Health",Head of Analytics at ISN,Brown University,Public & Private Sector Organizations,Brown University,
"Berkeley, California, United States","Founder, Executive Director at Evergreen Counseling",Administrator at Esalen Institute,California Institute of Integral Studies,,Brown University,
"Columbia, Maryland, United States",Chief Operating Officer and General Counsel at Grid Therapeutics,"Senior Vice President, Business Operations at Oracle",Brown University,,Brown University,
"Peekskill, New York, United States",Owner at Chasen Enterprises,Managing Director at Markit,1983–1987,,Brown University,
"Nashville, Tennessee, United States",Co-Founder at Space Inch,Co-Founder at tekc.co,1997–2001,"Political Science, Philosophy",Brown University,
"Bristol, Rhode Island, United States",President at Composite Energy Technologies,,1999–2003,Economics,Brown University,
"New York, New York, United States","Managing Partner at Hermes Capital Advisors, LLC","Director, Technology Investment Banking at Susquehanna International Group",Brown University,"Engineering, Economics",Brown University,
"São Paulo, Brazil",Innovation Lead at Mondelēz International,Innovation Manager at BRF,Brown University,Management,Brown University,
Greater Boston,"Vice President, Head of People Operations at Alexion Pharmaceuticals, Inc.","Executive Director, Head of People Operations at Alexion Pharmaceuticals, Inc.",Brown University,Political Science,Brown University,
"San Francisco, California, United States",Partner at Index Ventures,"Lead, Business Strategy & Operations at Dropbox",+ 1 more,International Relations,Brown University,
"New York, New York, United States",Director of Real Estate Expansion  at Foxtrot,Director | Retail Leasing at Cushman & Wakefield,Brown University,Architectural Studies,Brown University,
"Providence, Rhode Island, United States",Advisor and Mentor at Volunteer,Advisor to the CEO at Aite-Novarica Group,Brown University,Classics/Latin,Brown University,
"Columbus, Ohio Metropolitan Area",President at Highlights for Children,President at Justice,Brown University,"Art History, Criticism and Conservation",Brown University,
"Salem, Massachusetts, United States","Chief Operating Officer & Chief Legal Officer at Commonwealth Diagnostics International, Inc.","Chief Legal Officer, Executive Vice President at Commonwealth Diagnostics International, Inc.",Brown University,Business Administration and Management,Brown University,
"New York, New York, United States","Global Head of Metaverse (Web2 & Web3), Onyx by J.P. Morgan at J.P. Morgan","Private Bank, Product & Platform Development/Management at J.P. Morgan",Brown University,Comparative Literature,Brown University,
Greece,"Co-Founder, Finance & Operations at Two","Advisor, Strategic Projects at Alpha Bank",Harvard Business School,Applied Mathematics - Economics,Brown University,
"Paris, Île-de-France, France",Co-founder at Jimmy energy,Consultant Data Scientist at eleven | strategy consultants,École Polytechnique,Entrepreneurship/Entrepreneurial Studies,Brown University,
"New York, New York, United States",Senior Associate | Digital Product Manager | US Wealth Management at JPMorgan Chase & Co.,Investment Analyst at Portage Partners,Flatiron School,Fullstack Software Engineering,Brown University,
"Trabuco Canyon, California, United States",Enterprise Account Executive at Databricks,"Director, National Accounts at Vee24",Northwestern University - Kellogg School of Management,Marketing and Organizational Behavior,Brown University,
"Trabuco Canyon, California, United States",Enterprise Account Executive at Databricks,"Director, National Accounts at Vee24",Northwestern University - Kellogg School of Management,,Brown University,
"San Francisco, California, United States",CTO at Sofar Ocean Technologies,Staff Software Engineer at Google,Brown University,Electrical and Electronics Engineering,Brown University,
"Boston, Massachusetts, United States",Chief Executive Officer at Fenway Health,President and Chief Executive Officer at Northern California Grantmakers,"University of California, Berkeley - School of Law",Health and Society,Brown University,
"New York, New York, United States",Founder & CEO at Dig,Private Equity Associate at Wexford Capital,Brown University,Economics,Brown University,
"Austin, Texas, United States",President & COO at Favor Delivery,Head of Merchandising Strategy / Store of the Future  at H-E-B,The Wharton School,Philosophy,Brown University,
"New York, New York, United States",Chief Information Officer at Viasat Inc.,Co-founder and CEO at Vaiu Global Inc,Brown University,Engineering,Brown University,
Miami-Fort Lauderdale Area,CEO at DermaSensor,Head of Business Development at Verana Health,Brown University,Degrees in the Entrepreneurship program (Bioengineering focus) and in Economics,Brown University,
"Montreal, Quebec, Canada",CEO & Co-founder at Apollo Scooters,Chief Growth Officer at Nuage Stays,The University of British Columbia,Commerce,Brown University,
Raleigh-Durham-Chapel Hill Area,Director of Ecommerce and Customer Experience at 1-800-PACK-RAT,Director of Marketing at 1-800-PACK-RAT,1999–2003,Psychology,Brown University,
San Francisco Bay Area,Chief Technology Officer at The New York Times,Head of Infrastructure at Airbnb,2002–2003,Computer Science,Brown University,
San Francisco Bay Area,Co-Founder & CEO at PLUS,Product Manager at Gumroad,Brown University,,Brown University,
"Seattle, Washington, United States","Senior Vice President, Operations at HelloFresh","Chief Operating Officer, OYO Homes US at OYO",University of Chicago GSB,Finance,Brown University,
"Roswell, Georgia, United States",CEO at Kloeckner Metals Corporation,"EVP, Corporate Purchasing at Kloeckner Metals Corporation",Brown University,Business/Managerial Economics,Brown University,
"New York, New York, United States",CEO at Reveal from The Center for Investigative Reporting,VP - Business Operations at The Walt Disney Company,Brown University,Political Science,Brown University,
"New York, New York, United States",Managing Parter at Groundswell Ventures,"Founder, CEO at VROU",Brown University,Community Health & Sociology,Brown University,
"New York, New York, United States",Chief Operating Officer at Uniswap Labs,Managing Director & Global Head of Aladdin Sustainability at BlackRock,Harvard Business School,History,Brown University,
"Cambridge, Massachusetts, United States",Co-founder & CEO at Wistia,"Editor, Associate Producer at Big Orange Films",Brown University,Arts-Semiotics,Brown University,
"Austin, Texas Metropolitan Area","VP, Product at FireMon",Co-founder & CEO at Groove id,1990–1994,Organizational Behavior & Management,Brown University,
"San Francisco, California, United States",Co-Founder at Monthly,Investing at Rough Draft Ventures,Brown University,Sc.B. Computer Science and Applied Math,Brown University,
New York City Metropolitan Area,Co-Founder at Famous Media Group,Software Engineer Intern at HubSpot,Brown University,Computer Science,Brown University,
Greater Boston,VP of Deep Learning Software at NVIDIA,"Co-founder and Director, DSP at Stream Processors, Inc.",1997–2004,Electrical Engineering,Brown University,
"New York, New York, United States",Co-Founder at tomorrow,VP eCommerce at Theory,1993–1997,Visual Arts & Psychology,Brown University,
"New York, New York, United States","President and CEO at Performance Logic, Inc.",Principal at Nextera Consulting,Brown University,Materials Science,Brown University,
"Denver, Colorado, United States","Co-Founder, CEO at InScribe",Co-Founder and President at Crafted Education,Brown University,Biology and Political Science,Brown University,
"Gainesville, Florida, United States",Chief Executive Officer at Exactech,"Senior Vice President, Extremities at Exactech",Brown University,Business/Managerial Economics,Brown University,
New York City Metropolitan Area,Chief Technology Officer and Co-Founder at INTRVL at INTRVL,Senior Data Scientist at Hawkfish LLC,Brown University Division of Applied Mathematics,Applied Mathematics,Brown University,
New York City Metropolitan Area,Director of Data & Analytics at Bombas,Manager of Data & Analytics at 1stdibs.com,2008–2012,"Economics, International Relations",Brown University,
Greater Boston,Chief Executive Officer and Cofounder  at Nutrimedy,Venture Fellow at Vencapital,Brown University,Healthcare Leadership,Brown University,
"New York, New York, United States","Chief Marketing Officer, Consumer Banking at Capital One","Head of Consumer Banking Strategy & Analytics, Vice President at Capital One",Brown University,Ethics and Political Philosophy,Brown University,
San Francisco Bay Area,Founder & CEO at thrv.com,CEO at Strategyn,1996–1998,Business,Brown University,
Geneva Metropolitan Area,Chief Executive Officer at Gold Standard,"Head of Green Climate Fund (GCF) Unit, Office of Director-General at Global Green Growth Institute",Brown University,Public and Private Sector Organization,Brown University,
"New York, New York, United States",CEO at AdhereTech,"Senior Vice President and General Manager, Everyday Health Professional at Everyday Health Professional",1991,Mathematics,Brown University,
New York City Metropolitan Area,1 yr 6 mos,Influencer Marketing Manager at Current,Brown University,"Business, Entrepreneurship, & Organizations",Brown University,
"Barrington, Rhode Island, United States",Adjunct Professor at Boston University School of Law,"Manager, Corporate Planning at Citizens Financial Group",1987–1988,International History,Brown University,
"Gwanak District, Seoul, South Korea","Co-founder, CTO at Twelve Labs","AI Researcher at Ministry of National Defense, Republic of Korea",Brown University,Computer Science and Applied Mathematics,Brown University,
"Seoul, Seoul, South Korea",Global Marketing Director at Hankook Tire,Senior integrated marketing Manager at Hankook Tire Europe HQ GmbH,University of Missouri-Kansas City,Communication Studies,Brown University,
"Seattle, Washington, United States",VP of Engineering at Okera,Senior Director of Engineering at Splunk,University of Washington,Computer Science,Brown University,
Denver Metropolitan Area,Co-founder / Principal at Limina,"Senior User Experience Specialist at NerveWire, Inc",2003–2006,"International Science, Technology and Policy",Brown University,
"Minneapolis, Minnesota, United States",Founder and CEO at Zopec Medical LLC.,Strategic Operations Program Manager at Medtronic,University of Wisconsin-Madison,Chemical Engineering,Brown University,
"Los Angeles, California, United States",Senior Vice President Operations at The X Company,Director at The X Company,The University of Chicago Booth School of Business,Business Economics,Brown University,
"New York, New York, United States",Head Of Operations at Attune,Director Of Operations at Attune,2006–2008,Engineering Systems,Brown University,
New York City Metropolitan Area,CEO at Chestnut Advisory Group,Global Advisory Council  Member at 100 Women in Finance,University of Pennsylvania - The Wharton School,"International Finance, Multinational Management",Brown University,
"Scottsdale, Arizona, United States",VP of Product Marketing at Paperless Post,VP of Customer Operations at Paperless Post,The University of Chicago - Booth School of Business,Finance and Marketing,Brown University,
San Francisco Bay Area,"Chief Executive Officer at Coastside News Group, Inc.",Chief Financial Officer at Coastside News Group,San Francisco State University,Spanish,Brown University,
Greater Madrid Metropolitan Area,Chief Financial Officer at ROVI CM,,Brown University,,Brown University,
"Seattle, Washington, United States",Co-Founder at Triangle Brands,Vice President of Innovation Culture & Methodologies at Starbucks,Brown University,Music | Comparative Literature,Brown University,
"Canton, Massachusetts, United States",CEO and Founder at Amylyx Pharmaceuticals,Engineering Researcher at NIST,2010–2014,Biomedical Engineering,Brown University,
"New York, New York, United States","Chief Digital & Marketing Officer, PPD at L'Oréal","Global Chief Digital Officer, L'Oréal Paris DMI at L'Oréal",Brown University,International Relations/Political Science,Brown University,
"Boulder, Colorado, United States",VP Marketing & Ecommerce at Pharmaca Integrative Pharmacy,VP Marketing & Innovation at WhiteWave Foods,Brown University,History,Brown University,
Greater Chicago Area,Chief Strategy & Growth Officer at Qyrus,"Director, Head of North America at Finalta by McKinsey",Northwestern University - Kellogg School of Management,"Finance, Management, Strategy",Brown University,
"New York, New York, United States",Chief Operating Officer at Great Forest,Vice President Of Business Development at Great Forest,Indiana University - Kelley School of Business,Marketing,Brown University,
"San Antonio, Texas, United States",Vice President Of Finance And Operations at Edmonds College,Comptroller/Finance Director at Army Central Command,University of South Carolina,Cost Management,Brown University,
"Lahore District, Punjab, Pakistan",Chief Operating Officer at Hico Ice Cream,Senior Business Analyst at McKinsey & Company,Harvard Business School,Computer Science - Economics,Brown University,
Chile,CEO at SUMA SaaS,Chief Executive Officer at Nubox SpA,Brown University,History,Brown University,
"Toronto, Ontario, Canada",Co-Founder & CEO at Zuva,Co-Founder & CEO at Kira Systems,2003–2006,Political Science,Brown University,
"Philadelphia, Pennsylvania, United States","SVP, Head of DaaS Product Group Technology Leader at TD","Executive Director, Head of Data Management & Engineering Xfinity Consumer Services at Comcast",Brown University,Business Analytics,Brown University,
Los Angeles Metropolitan Area,Chief Marketing Officer at Wave,Head of Strategy/Consumer Marketing - Youth & Family at Netflix,Northwestern University - Kellogg School of Management,"Marketing, Management & Organizations",Brown University,
"New York, New York, United States",Co-Founder and President at Transcend Therapeutics,Associate at AlleyCorp,Brown University,Mathematics and Contemplative Studies (double major),Brown University,
"Absecon, New Jersey, United States",President/CEO at Icon Hospitality,Vice President at MFA Properties,Brown University,Healthcare Administration/Organizational Leadership,Brown University,
"Salt Lake City, Utah, United States",Chief Marketing Officer at Anitian,"Chief Marketing Officer at ColorTokens, Inc.",+ 3 more,"Foreign Studies Program - Bologna, Italy",Brown University,
"New York, New York, United States",Chief Growth Officer  at hims & hers,Chief Marketing Officer at Zola.com,Columbia University - Columbia Business School,Classics,Brown University,
"Charleston, South Carolina Metropolitan Area",Head of Alliances at Crosschq,Vice President Of Strategic Alliances at Canvas,Brown University,Sociology,Brown University,
"Boston, Massachusetts, United States",Chief Marketing Officer at  Advent Technologies,Founder & CEO at mamaya books,Brown University,Business/Managerial Economics,Brown University,
"Smithtown, New York, United States",COO at Contract Pharmacal Corp,"Senior Director, Operations at Contract Pharmacal Corp",Stony Brook University,Business,Brown University,
Greater Boston,VP Global Lab and US Site Operations at Olink Proteomics at Olink Proteomics,VP Global Commercial Operations at Olink Proteomics,Brown University,Biology,Brown University,
"Hawaii, United States",Chief Information Officer at Hawaii State Department of Education,Board Advisor at Versive (formerly Context Relevant),Brown University,Computer Science,Brown University,
"New York, New York, United States",Founder and CEO/CTO at ChartHop,CTO and Co-Founder at Sailthru,2002–2005,Theatre,Brown University,
"Austin, Texas, United States","Partner/Chief Operations Officer/Chief Compliance Officer at Durbin Bennett Private Wealth Management, LLC",Business Consultant at Private RIA,1997–1998,Development Management,Brown University,
"Boston, Massachusetts, United States","Chief Medical Officer CMO, UnitedHealthcare of New England at UnitedHealthcare","National Medical Director, Optum Population Health Solutions at Optum",Brown University,Nephrology,Brown University,
"Los Angeles, California, United States",Co-Founder at Cards Against Humanity LLC,Co-Founder at Dinosaur Coffee,Brown University,Psycholinguistics,Brown University,
"Oakland, California, United States",Demand Generation & Operations Manager at Vivun,Marketing Manager - The Americas at MessageMedia,Brown University,International Relations,Brown University,
"Dallas, Texas, United States",Executive Vice President at Colliers International,Senior Vice President at Colliers International,1996–2000,Supply Chain & Logistics,Brown University,
"Auckland, Auckland, New Zealand",GM Data & Analytics at Air New Zealand,GM Enablement (Acting) at Air New Zealand,1992–1996,Psychology,Brown University,
"Dallas, Texas, United States","Director, Product Innovation  at Match Group","Founder, Product Leader at Gathr",Brown University,Biotechnology,Brown University,
"San Diego, California, United States","Chief Financial Officer at leadPops, Inc.",Chief Financial Officer at BandwidthX,2004–2006,History; Public Policy,Brown University,
"Seattle, Washington, United States","Director, Customer Engagement Technologies at Amazon","CEO & Founder, Mode.AI at modeai",Brown University,Applied Math,Brown University,
"New York, New York, United States",Executive Manager at Jobot,"Manager, Staffing Solutions at Motion Recruitment",Brown University,English and Literature,Brown University,
Berlin Metropolitan Area,Investment Committee Member (Anlageausschussmitglied) at KENFO - Fonds zur Finanzierung der kerntechnischen Entsorgung,Chapter Chair YPO Gold Berlin at YPO,1992–2012,Economics,Brown University,
"San Francisco, California, United States","Director, Sustainability at Grove Collaborative","Director, Corporate Social Responsibility at Williams-Sonoma, Inc.",Presidio School of Management,Sustainable Management,Brown University,
"New York, New York, United States","Managing Director, Deals Strategy at Strategy&",Owner & Principal Consultant at Glenview James LLC,Harvard Business School,Public Policy & American Insitutions,Brown University,
"New York, New York, United States",Head Innovation Accelerator  at Swiss Re Corporate Solutions,Senior Engagement Manager at Prophet,Brown University,East Asian Studies,Brown University,
"Washington, District of Columbia, United States",Managing Director at 57 Stars LLC,"Director, Private Equity at OPIC",Brown University,Development Studies,Brown University,
New York City Metropolitan Area,Vice President at The Janssen Pharmaceutical Companies of Johnson & Johnson,Global Medical Head at The Janssen Pharmaceutical Companies of Johnson & Johnson,Brown Medical School,Internal Medicine,Brown University,
"Brooklyn, New York, United States","Senior Director, Retail Investment Platform at Republic","Director, Retail Platform Operations at Republic",Brown University,Middle East Studies,Brown University,
"Bangkok, Bangkok City, Thailand",VP at Data Innovation Team (DI) at KTB - Krung Thai Bank,Senior Data Scientist at SCB Abacus,Brown University,Elementary Particle Physics,Brown University,
"Glenview, Illinois, United States",Head of Product & Strategy at Dimension Inx,Head of Strategy and Corporate Development at Dimension Inx,Brown University,Healthcare Leadership,Brown University,
"Detroit, Michigan, United States",COO at Block Harbor Cybersecurity,Vice President Of Business Development at Block Harbor Cybersecurity,Brown University,Technology,Brown University,
"Catonsville, Maryland, United States",Director Of Analytics at EA SPORTS,Head Of Analytics at Facet Wealth,1988–1992,Applied Mathematics/Environmental Studies,Brown University,
"Wilmington, Delaware, United States",Partner at Saul Ewing Arnstein & Lehr LLP,Shareholder at Chamberlain Hrdlicka,University of Pennsylvania Law School,cum laude,Brown University,
"New York, New York, United States",Chief Strategy and Analytics Officer at Omnicom Health Group,Executive Vice President Data Analytics at Omnicom Health Group,INSEAD,Human Biology,Brown University,
Greater Chicago Area,"Senior Vice President, Chief Communications Officer at McDonald's","Vice President, Chief Communications Officer at McDonald's",Brown University,Nonfiction Writing Program,Brown University,
"Stamford, Connecticut, United States",Managing Director at H.I.G. Capital,"Partner at Thomas, McNerney & Partners",1987–1991,,Brown University,
San Francisco Bay Area,"Senior Product Manager, Data Science and Analytics at Cisco Meraki","Senior Product Manager, Mobile at Kespry",University of Pennsylvania - The Wharton School,"Marketing, Entrepreneurial Management",Brown University,
"New York, New York, United States",MBA Candidate at NYU Stern School of Business,Investment Banking Summer Associate at RBC,NYU Stern School of Business,"Forté Fellow, Vice Dean JP Eggers Faculty Scholar (full merit scholarship)",Brown University,
"Hamilton, Bermuda",Group Head of Marketing & Communications at Butterfield Group,Chief Marketing Officer at Xplor,Brown University,Economics,Brown University,
"Kensington, England, United Kingdom",CEO & Co-Founder at Esme Learning Solutions,Co-Founder at Riff Analytics,Brown University,"Biology, Theatre Arts",Brown University,
"New York, New York, United States",,Chief Marketing & Communications Officer at SoundExchange,Brown University,"Dual Concentration - Urban Studies, Africana Studies",Brown University,
"New York, New York, United States","Senior Product Manager, Ecomm at Peloton Interactive","Product Manager, Ecomm at Peloton Interactive",Brown University,International Relations and Affairs,Brown University,
"Providence County, Rhode Island, United States",Vice Chairman at Gilbane Building Company,"Member Board of Directors at Gilbane, Inc.",1966–1970,Poltiical Science,Brown University,
New York City Metropolitan Area,CEO at The Execution Project,"Executive Vice President, Head of Private Client Group at Fidelity Investments",Brown University,Organizational Behavior,Brown University,
United States,Senior Software Engineer at InVision,Senior Software Engineer at Nurx,Brown University,Public Policy,Brown University,
"Seattle, Washington, United States","Co-Founder & CTO at Stably, Inc.",Software Engineer at Amazon,Brown University,Applied Mathematics/Computer Science,Brown University,
"Tokyo, Tokyo, Japan",Founder and CTO at TableCheck Inc,Vice President at Nomura Securities,Brown University,Electrical Engineering (Solid State and Optoelectronics),Brown University,
United States,"Chief Technology Officer, Tech for Social Impact at Microsoft","Vice Chair, Board of Directors at NetHope",Brown University,History,Brown University,
"Geneva, Geneva, Switzerland","CEO at Gavi, the Vaccine Alliance",President and CEO at International AIDS Vaccine Initiative,Brown University,,Brown University,
"New York, New York, United States",CEO at FEED Projects,President at FEED Projects,Brown University,International Relations,Brown University,
"East Rochester, New York, United States",CEO at Pharos Systems International,"VP, Public Sector Solutions & Services at Xerox Business Services",University of Rochester - William E. Simon Graduate School of Business Administration,Computer Science,Brown University,
"Atlanta, Georgia, United States","Chief Technology Officer at OM1, Inc.",CTO and Office of the CEO at Jvion,Brown University,Computer Science,Brown University,
Singapore,Co-Founder & Head of AI at Jamm,Founder in Residence at Entrepreneur First at Entrepreneur First,Brown University,Computer Science,Brown University,
Greater Chicago Area,"CEO at Renegade Brands USA, Inc.","Co-owner, Director at TB2 Enterprises",Brown University,,Brown University,
"San Francisco, California, United States",Co-Founder at Clara Health,Thiel Fellow at The Thiel Foundation,Brown University,"Mathematics, Economics, Computer Science",Brown University,
"San Francisco, California, United States",Co-Founder at Clara Health,Thiel Fellow at The Thiel Foundation,Brown University,,Brown University,
"Cincinnati, Ohio, United States",Member at Chief,Managing Director at CincyTech USA,Brown University,International Relations and Economics,Brown University,
"Cambridge, Massachusetts, United States",Executive Vice President and Chief Technology Officer at Akamai Technologies,Executive Vice President of Platform and General Manager of Enterprise at Akamai Technologies,INSEAD,Computer Science,Brown University,
"San Diego, California, United States",Founder and CEO at SuperMem Inc.,Emerging Memory Professional at none,1993–1997,Physics,Brown University,
"Bradenton, Florida, United States",Chief Executive Officer at 3B Scientific,Operating Partner at JH Whitney & Company,1990–1992,Business Economics,Brown University,
"New York, New York, United States",CEO at Hunter Point Capital LP,"Managing Director at Easterly Capital, LLC",Brown University,Math and Economics,Brown University,
United States,COO at Everbloom,Entrepreneur In Residence at Sweet Studio,Brown University,Mathematical Economics,Brown University,
"Los Angeles, California, United States",Sr. Director of Strategic Sourcing at Daily Harvest,Sr. Director of Supply at Everytable,Brown University,Environmental Studies,Brown University,
New York City Metropolitan Area,Chief Revenue Officer at Lithic,Entrepreneur In Residence at Bessemer Venture Partners,Brown University,Economics,Brown University,
"New York, New York, United States",CEO at Runwise,General Manager at Beach Lane Management,Brown University,Business/Managerial Economics,Brown University,
"Los Angeles, California, United States",Co-Founder at Jiant Kombucha,Director of Product Marketing at Orchard Platform,UCLA Anderson School of Management,Entrepreneurship and Marketing,Brown University,
"Santa Monica, California, United States","Vice President, Digital/E-Commerce at The Honest Company",Vice President Global Marketing at Razor USA LLC,1999–2003,Public Policy and American Institutions,Brown University,
"Austin, Texas, United States",Founder at Sock Club,Lead Software Developer at FoundersCard,Brown University,Mathematics,Brown University,
"Boulder, Colorado, United States",Co-founder at Cloud Agronomics,Researcher at Humanity Centered Robotics Initiative at Brown University,Brown University,Electrical Engineering,Brown University,
"Boston, Massachusetts, United States",Chief Executive Officer at Granata Bio,"Business Unit Head- Fertility Technologies at EMD Serono, Inc.",Yale University - Yale School of Management,Leadership in Healthcare,Brown University,
"San Francisco, California, United States",CEO at Memfault,Embedded Software & FPGA Manager at Oculus VR,Brown University,Electrical Engineering,Brown University,
"New York, New York, United States",Co-Founder at Prequel,Product Management Pre-MBA Intern at RapidSOS,Harvard Business School,Engineering Sciences,Brown University,
"Boston, Massachusetts, United States",Cofounder & COO at OnRamp,MBA Candidate at Harvard Business School at Harvard Business School,Harvard Business School,Accounting,Brown University,
"San Francisco, California, United States",CEO & Co-founder at Superbio.ai,Entrepreneur In Residence at R42 Group,Brown University,Biomedical/Medical Engineering,Brown University,
"Telluride, Colorado, United States",Founder | CEO at Legacy,CEO at LinkBee,Brown University,Reconstructive Surgery,Brown University,
"Providence, Rhode Island, United States",Chief Operating Officer at Intus Care,Financial Management Analyst Program - Investment Solutions Group at Bank of America,Brown University,,Brown University,
"Mexico City, Mexico",Co-CEO  at Credijusto,Financial Institutions Group - Investment Banking Summer Analyst at Morgan Stanley,2008–2013,Economics,Brown University,
Greater Boston,"VP, Discovery Technologies at Relay Therapeutics","SVP, Head of Drug Discovery at ZebiAI Therapeutics",1991–1997,Cellular and Molecular Physiology,Brown University,
United States,Head of Retail Business Operations and Strategy at Coinbase,Principal at Boston Consulting Group (BCG),Harvard Business School,Classics with honors,Brown University,
"Boulder, Colorado, United States",Founder & CEO at Modesail,"Vice President, Hybrid IT Services (Hosting, Cloud, Security, Data Center Network, Managed Services) at CenturyLink",Columbia University,"Management of Organisations, Marketing",Brown University,
"San Mateo, California, United States",Co-Founder and CEO at Superb AI Inc.,Machine Learning Research Engineer at SK T-Brain,Y Combinator,"Computer Science (Robotics, AI)",Brown University,
"Providence, Rhode Island, United States",Head of E-commerce Integrations at inriver,Head of Technical Program Management at Yalo,+ 1 more,"Biology, General",Brown University,
"New York, New York, United States",CEO at Ruder Finn,Trustee at China Institute,+ 2 more,Political Science,Brown University,
Greater Boston,"Vice President, Business Intelligence and Finance Systems at UNFI","Vice President, Information, Process and Program Management  at UNFI",Brown University,History,Brown University,
San Francisco Bay Area,Co-Founder & CEO at Galea Health,Associate Consultant at Bain & Company,Brown University,Business Economics,Brown University,
"New York, New York, United States",Global Department Head Biopharma Operations at Pfizer,"WW & COE Lead, Business Analytics & Insights, Global Commercial Operations at Pfizer",Brown University,Neuroscience,Brown University,
"New York, New York, United States","Chief Operating Officer at Intermap Technologies, Inc.",Founding Partner at Corzine Capital,Brown University,Political Science,Brown University,
"Bellevue, Washington, United States",CEO at Safari SOP,Chief Strategy Officer at Doosan GridTech,Stanford University Law School,Civil Engineering,Brown University,
San Francisco Bay Area,Co-Founder at Tonic,Head of Deployments at Segovia Technology,2000–2004,Engineering-Physics,Brown University,
"São Paulo, Brazil",CEO & Co-Founder at nocnoc,CEO & Founder at Educación Responsable Uruguay,Harvard University,Public Policy Analysis,Brown University,
"Austin, Texas, United States",Co-Founder & CEO at Plant People,"Co-Founder, Board Director at RISE Brewing Co.",Brown University,East Asian Studies & Entrepreneurship,Brown University,
"Palo Alto, California, United States",Co-Founder at Tagg,Student Athlete at Brown University,Brown University,Neuroscience,Brown University,
"Palo Alto, California, United States",Co-Founder at Tagg,Student Athlete at Brown University,Brown University,,Brown University,
Denver Metropolitan Area,Chief Operating Officer at Quest Software,Chief Financial Officer at Aspect Software,1992–1996,Economics,Brown University,
"New York, New York, United States",Global Head Of Technology Transformation & Delivery at Johnson & Johnson,SVP Technology Transformation at Momentum Solar,Brown University,Management Information System,Brown University,
Greater Chicago Area,Owner & CEO at Asutra,Executive Coach at Independent,1995–1999,"Sociology, magna cum laude",Brown University,
"Cambridge, Massachusetts, United States",Chief Operations Officer - Cambridge at Eli Lilly and Company,Director - Device Innovation at Eli Lilly and Company,Brown University,Medical Science,Brown University,
"Denver, Colorado, United States","SVP & GM, eCommerce & Operations at Havenly","Vice President, Operations at Havenly",Northwestern University - Kellogg School of Management,"Marketing, Finance, Entrepreneurship",Brown University,
"Chicago, Illinois, United States","Head of Operations, Midwest at Getir",Head of Operations at Veo,Dartmouth College - The Tuck School of Business at Dartmouth,Economics,Brown University,
"Washington, District of Columbia, United States",Co-Founder + CEO at Shouk,"Vice President, Sales at OPOWER",Boston University,Business Information Systems,Brown University,
Helsinki Metropolitan Area,Chief Product Officer at Dispelix Oy,COO at Dispelix Oy,University of Eastern Finland,Physics,Brown University,
